"","Yr","Mn","station","CO2_concentration","hemisphere"
"457",1965,"Jun","mlo",322.17,"northern"
"458",1965,"Jun","kum",NA,"northern"
"459",1965,"Jun","chr",NA,"northern"
"460",1965,"Jun","sam",NA,"southern"
"461",1965,"Jun","ker",NA,"southern"
"462",1965,"Jun","nzd",NA,"southern"
"463",1965,"Jul","alt",NA,"northern"
"464",1965,"Jul","mlo",319.27,"northern"
"465",1965,"Jul","kum",NA,"northern"
"466",1965,"Jul","chr",NA,"northern"
"467",1965,"Jul","sam",NA,"southern"
"468",1965,"Jul","ker",NA,"southern"
"469",1965,"Jul","nzd",NA,"southern"
"470",1965,"Aug","alt",NA,"northern"
"471",1965,"Aug","mlo",318.58,"northern"
"472",1965,"Aug","kum",NA,"northern"
"473",1965,"Aug","chr",NA,"northern"
"474",1965,"Aug","sam",NA,"southern"
"475",1965,"Aug","ker",NA,"southern"
"476",1965,"Aug","nzd",NA,"southern"
"477",1965,"Sep","alt",NA,"northern"
"478",1965,"Sep","mlo",317.13,"northern"
"479",1965,"Sep","kum",NA,"northern"
"480",1965,"Sep","chr",NA,"northern"
"481",1965,"Sep","sam",NA,"southern"
"482",1965,"Sep","ker",NA,"southern"
"483",1965,"Sep","nzd",NA,"southern"
"484",1965,"Oct","alt",NA,"northern"
"485",1965,"Oct","mlo",317.35,"northern"
"486",1965,"Oct","kum",NA,"northern"
"487",1965,"Oct","chr",NA,"northern"
"488",1965,"Oct","sam",NA,"southern"
"489",1965,"Oct","ker",NA,"southern"
"490",1965,"Oct","nzd",NA,"southern"
"491",1965,"Nov","alt",NA,"northern"
"492",1965,"Nov","mlo",318.72,"northern"
"493",1965,"Nov","kum",NA,"northern"
"494",1965,"Nov","chr",NA,"northern"
"495",1965,"Nov","sam",NA,"southern"
"496",1965,"Nov","ker",NA,"southern"
"497",1965,"Nov","nzd",NA,"southern"
"498",1965,"Dec","alt",NA,"northern"
"499",1965,"Dec","mlo",319.97,"northern"
"500",1965,"Dec","kum",NA,"northern"
"501",1965,"Dec","chr",NA,"northern"
"502",1965,"Dec","sam",NA,"southern"
"503",1965,"Dec","ker",NA,"southern"
"504",1965,"Dec","nzd",NA,"southern"
"505",1966,"Jan","alt",NA,"northern"
"506",1966,"Jan","mlo",320.5,"northern"
"507",1966,"Jan","kum",NA,"northern"
"508",1966,"Jan","chr",NA,"northern"
"509",1966,"Jan","sam",NA,"southern"
"510",1966,"Jan","ker",NA,"southern"
"511",1966,"Jan","nzd",NA,"southern"
"512",1966,"Feb","alt",NA,"northern"
"513",1966,"Feb","mlo",321.89,"northern"
"514",1966,"Feb","kum",NA,"northern"
"515",1966,"Feb","chr",NA,"northern"
"516",1966,"Feb","sam",NA,"southern"
"517",1966,"Feb","ker",NA,"southern"
"518",1966,"Feb","nzd",NA,"southern"
"519",1966,"Mar","alt",NA,"northern"
"520",1966,"Mar","mlo",322.4,"northern"
"521",1966,"Mar","kum",NA,"northern"
"522",1966,"Mar","chr",NA,"northern"
"523",1966,"Mar","sam",NA,"southern"
"524",1966,"Mar","ker",NA,"southern"
"525",1966,"Mar","nzd",NA,"southern"
"526",1966,"Apr","alt",NA,"northern"
"527",1966,"Apr","mlo",324.42,"northern"
"528",1966,"Apr","kum",NA,"northern"
"529",1966,"Apr","chr",NA,"northern"
"530",1966,"Apr","sam",NA,"southern"
"531",1966,"Apr","ker",NA,"southern"
"532",1966,"Apr","nzd",NA,"southern"
"533",1966,"May","alt",NA,"northern"
"534",1966,"May","mlo",324.22,"northern"
"535",1966,"May","kum",NA,"northern"
"536",1966,"May","chr",NA,"northern"
"537",1966,"May","sam",NA,"southern"
"538",1966,"May","ker",NA,"southern"
"539",1966,"May","nzd",NA,"southern"
"540",1966,"Jun","alt",NA,"northern"
"541",1966,"Jun","mlo",323.5,"northern"
"542",1966,"Jun","kum",NA,"northern"
"543",1966,"Jun","chr",NA,"northern"
"544",1966,"Jun","sam",NA,"southern"
"545",1966,"Jun","ker",NA,"southern"
"546",1966,"Jun","nzd",NA,"southern"
"547",1966,"Jul","alt",NA,"northern"
"548",1966,"Jul","mlo",321.94,"northern"
"549",1966,"Jul","kum",NA,"northern"
"550",1966,"Jul","chr",NA,"northern"
"551",1966,"Jul","sam",NA,"southern"
"552",1966,"Jul","ker",NA,"southern"
"553",1966,"Jul","nzd",NA,"southern"
"554",1966,"Aug","alt",NA,"northern"
"555",1966,"Aug","mlo",319.92,"northern"
"556",1966,"Aug","kum",NA,"northern"
"557",1966,"Aug","chr",NA,"northern"
"558",1966,"Aug","sam",NA,"southern"
"559",1966,"Aug","ker",NA,"southern"
"560",1966,"Aug","nzd",NA,"southern"
"561",1966,"Sep","alt",NA,"northern"
"562",1966,"Sep","mlo",318.46,"northern"
"563",1966,"Sep","kum",NA,"northern"
"564",1966,"Sep","chr",NA,"northern"
"565",1966,"Sep","sam",NA,"southern"
"566",1966,"Sep","ker",NA,"southern"
"567",1966,"Sep","nzd",NA,"southern"
